Number \ Keywords \ Quantity \ Percentage
# first keyboard line
53 \ vwx \ 5 \ 1.1026136353612604e-05
54 \ opq \ 5 \ 1.1026136353612604e-05
55 \ pqr \ 5 \ 1.1026136353612604e-05
56 \ qrst \ 4 \ 8.820909082890082e-06
57 \ lmnop \ 4 \ 8.820909082890082e-06
58 \ UTS \ 3 \ 6.615681812167562e-06
59 \ LMN \ 3 \ 6.615681812167562e-06
60 \ ABCD \ 3 \ 6.615681812167562e-06
61 \ ABCDEFGH \ 3 \ 6.615681812167562e-06
62 \ xwv \ 3 \ 6.615681812167562e-06
63 \ ponm \ 3 \ 6.615681812167562e-06
64 \ wxy \ 3 \ 6.615681812167562e-06
65 \ mnop \ 3 \ 6.615681812167562e-06
66 \ ONM \ 2 \ 4.410454541445041e-06
67 \ SRQ \ 2 \ 4.410454541445041e-06
68 \ DEF \ 2 \ 4.410454541445041e-06
69 \ CDE \ 2 \ 4.410454541445041e-06
70 \ ABCDE \ 2 \ 4.410454541445041e-06
71 \ JKL \ 2 \ 4.410454541445041e-06
72 \ NOP \ 2 \ 4.410454541445041e-06
73 \ dcba \ 2 \ 4.410454541445041e-06
74 \ rqp \ 2 \ 4.410454541445041e-06
75 \ zyx \ 2 \ 4.410454541445041e-06
76 \ ijkl \ 2 \ 4.410454541445041e-06
77 \ abcdefghijkl \ 2 \ 4.410454541445041e-06
78 \ abcdefghij \ 2 \ 4.410454541445041e-06
79 \ defg \ 2 \ 4.410454541445041e-06
80 \ abcdefghi \ 2 \ 4.410454541445041e-06
81 \ opqr \ 2 \ 4.410454541445041e-06
82 \ jklm \ 2 \ 4.410454541445041e-06
83 \ CBA \ 1 \ 2.2052272707225205e-06
84 \ WVU \ 1 \ 2.2052272707225205e-06
85 \ KJI \ 1 \ 2.2052272707225205e-06
86 \ JIH \ 1 \ 2.2052272707225205e-06
87 \ PON \ 1 \ 2.2052272707225205e-06
88 \ NML \ 1 \ 2.2052272707225205e-06
89 \ FGHI \ 1 \ 2.2052272707225205e-06
90 \ BCD \ 1 \ 2.2052272707225205e-06
91 \ ABCDEFGHIJK \ 1 \ 2.2052272707225205e-06
92 \ HIJ \ 1 \ 2.2052272707225205e-06
93 \ XYZ \ 1 \ 2.2052272707225205e-06
94 \ ABCDEFGHI \ 1 \ 2.2052272707225205e-06
95 \ JKLM \ 1 \ 2.2052272707225205e-06
96 \ RST \ 1 \ 2.2052272707225205e-06
97 \ KLM \ 1 \ 2.2052272707225205e-06
98 \ FGH \ 1 \ 2.2052272707225205e-06
99 \ GHI \ 1 \ 2.2052272707225205e-06
100 \ EFG \ 1 \ 2.2052272707225205e-06
101 \ mlkj \ 1 \ 2.2052272707225205e-06
102 \ vuts \ 1 \ 2.2052272707225205e-06
103 \ edcba \ 1 \ 2.2052272707225205e-06
104 \ lkji \ 1 \ 2.2052272707225205e-06
105 \ onml \ 1 \ 2.2052272707225205e-06
